ikaw,162580
ikalawang,18932
ikatlong,11195
ikaapat,4557
ikalawa,4006
ikatlo,2727
ikalimang,2143
ikakasal,2034
ikabubuti,1962
ikay,1903
ika-apat,1740
ikinagulat,1476
ikapitong,1435
ikaanim,1410
ikasal,1336
ikinasal,1298
ikinatuwa,1286
ikalat,1110
ikauunlad,1109
ikapu,1108
ika-anim,918
ikinamatay,903
ikawang,797
ikinalulungkot,657
ikawalong,654
ikinabubuhay,584
ikabit,546
ikabubuhay,537
ikalima,535
ikasiyam,518
ikamatay,506
ikahiya,505
ikinalat,469
ikasampung,466
ikinasawi,449
ikinahihiya,430
ikinagalit,430
ikinasa,416
ikinabit,411
ika-pitong,377
ika-siyam,369
ika-limang,363
ikabahala,360
ikamamatay,347
ikaway,338
ikakalat,335
ikinalungkot,326
ikagaganda,318
ikinagagalak,317
ikinakabit,311
ikinatutuwa,311
ikaliligtas,300
ikatakot,299
ikakabuti,294
ikapito,282
ikawalo,260
ikinasang,254
ikinabigla,240
ikatutuwa,237
ikinababahala,235
ikinakasal,231
ikalabing,225
ikakabit,219
ikinatawa,218
ikawlang,218
ikaluluwalhati,217
ika-walong,217
ikinasugat,211
ikinalulugod,209
ikinakalat,206
ikadalawampu,204
ikaliligaya,203
ika-sampung,198
ikinabahala,195
ikinagalak,170
ikasampu,165
ikinararangal,163
ikampanya,162
ikang,159
ikasisira,148
ikakahiya,145
ikapapahamak,143
ikinagagalit,142
ikinatatakot,140
ika-labing,139
ikatuwa,136
ikasasama,136
ikakasira,134
ikasisiya,134
ikanga,132
ikasasaya,130
ikahon,130
ikalulugod,130
ikakaunlad,129
ikinahiya,124
ikahihiya,122
ika-pito,121
ikinakahiya,114
ikaso,113
ikagalit,112
ikaila,110
ikinapit,110
ika-tatlong,108
ikasa,107
ikinatwiran,107
ikawna,105
ikinaila,104
ikatatagumpay,104
ikapagpapatawad,103
ikapo,103
ikararangal,103
ikagalak,102
ikapahamak,100
ikinakaila,98
ikaka,98
ikakamatay,97
ika-lima,94
ikalabindalawang,91
ikansela,91
ikinandado,90
ikakasaya,90
ikapit,89
ikalabing-isang,89
ikinakasa,89
ikagagaling,88
ikakaganda,88
ikasangpung,88
ikama,88
ikawlangang,86
ikawparin,86
ikinainis,86
ikakaila,86
ika-sampu,86
ikandado,86
ikinatakot,85
ika-walo,85
ikasira,85
ikamaru,84
ikalabinsiyam,84
ikinaganda,83
ikalito,82
ikalabintatlong,82
ikatatahimik,80
ikagagalit,79
ikinawit,78
ikalabing-apat,78
ikinasiya,78
ikarangal,76
ikatitibay,75
ikawlamang,75
ikinadismaya,74
ikagagalak,74
ika-dalawampu,73
ikakasa,73
ikakatuwa,72
ikinasama,70
ikakampanya,70
ikinasisiya,69
ikatututo,68
ikinalugod,68
ikanta,68
ikinakapit,67
ikinangiti,66
ikinakatakot,66
ikakagalit,66
ikaryo,65
ikabaliw,65
ikalulutas,64
ikalabinlimang,64
ikinalibog,64
ikawalang,64
ikinanta,64
ikinamangha,63
ikaskas,62
ikakasama,61
ikagiginhawa,61
ikain,60
ikadarakip,59
ikalwang,57
ikan,57
ikalulungkot,57
ikagulat,56
ikayayaman,55
ikadalawampung,55
ikakaso,54
ikasusulong,54
ikatatlong,52
ikawy,52
ikakayaman,52
ikagugulat,51
ikalungkot,51
ikakapahamak,50
ikinakampanya,50
ikatwiran,50
ikinakatwiran,49
ikaaayos,49
ikapat,48
ika-una,47
ikalabing-anim,47
ikalakal,47
ikawatako,47
ika-unang,46
ika-nga,46
ikaligtas,46
ikategorya,45
ikawlamangang,45
ikatatlumpu,45
ikakatwiran,44
ikinategorya,44
ikinaso,44
ikaduha,44
ikamusta,44
ikakaltas,44
ikinaiba,44
ikinatuwiran,42
ikinaloka,42
ikinabaliw,42
ikinarga,42
ikinadena,42
ikat,41
ika-dalawang,41
ikakatahimik,41
ikasasakdal,40
ikadena,40
ikinasasama,40
ikapagtatamo,40
ikinataka,40
ikarga,40
ika-isang,40
ikakagulat,39
ikal,39
ikinampanya,39
ikinaiinis,38
ikinaskas,38
ikinakalakal,37
ikatutupad,37
ikawikaw,37
ika-dalawampung,37
ikawala,37
ikabod,36
ika-tatlo,36
ikapagtatagumpay,36
ikar,35
ikasama,35
ikatutubos,35
ikinamamatay,35
ikinasaya,33
ikatatlo,33
ika-labindalawang,33
ikako,33
ika-uunlad,32
ikasasakit,31
ikakasakit,31
ikakarga,31
ikauunawa,30
ikagagaan,30
ikawnanga,30
ikakapit,29
ikawpa,29
ikalabingwalong,29
ikinakasang,29
ika''y,29
ikakalakal,29
ikalaway,29
ikaltas,29
ikae,28
ikalalago,28
ikakain,28
ikadyot,28
ika-dalawamput,27
ikawparinang,27
ika-lawang,27
ikamo,27
ikinatigil,27
ikinairita,27
ikinadyot,27
ikinasira,27
ikababagsak,27
ikampay,27
ikinakarga,26
ikadalawang,26
ikalabing-isa,26
ikinahon,26
ikinaalarma,26
ikantot,26
ikinaungol,26
ikatawan,26
ikalabimpitong,26
ikaanimnapung,26
ikapupuri,26
ika-isa,25
ikakatakot,25
ikakaayos,24
ikinahagikgik,24
ikinataas,24
ikapapanatag,24
ikawangaking,24
ikalugod,24
ikakabagsak,24
ikatatatag,24
ikinakatuwa,23
ika?y,23
ikinahihiyang,23
ikinakaway,23
ikinakaba,23
ikalma,23
ikatuwiran,23
ikahuling,23
ikalabindalawa,23
ikasiya,23
ikala,23
ikala-wang,23
ikatitisod,23
ikakabuhay,22
ikinabuhay,22
ika-labintatlong,22
ikalabingsiyam,22
ikalalaya,22
ikalilinaw,21
ikatutuwid,21
ikinampay,21
ikinaliligaya,21
ikinagising,21
ikinagugulat,21
ikakaligaya,21
ikakanta,21
ikinakilig,21
ikakandado,21
ikawat,21
ikinalaki,21
ikalaw,20
ikinasasaya,20
ikalawng,20
ikababanal,20
ikinalingon,20
ikas,20
ikaunlad,20
ika-tatlumpu,20
ikawa,20
ikinakaltas,20
ikinabuti,20
ikaayong,19
ikadalawamput,19
ikasisikat,19
ikabuti,19
ikadadakila,19
ikinaiiba,19
ikinababalisa,19
ikakansela,19
ika-labing-isang,19
ikinanyod,19
ikapapayapa,19
ikawangpag,18
ikalawangmarkahan,18
ikakikilala,18
ikaselos,18
ikahuhusay,18
ikanim,18
ikapung,18
ikatatlumpung,18
ikapagkakaroon,18
ikabibigla,18
ikatatakot,18
ikatalo,18
ikinaway,17
ikabagsak,17
ikinairap,17
ikalalaganap,17
ikabalisa,17
ikinain,17
ikapapanalo,17
ikainis,17
